iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,1024,0.030354035686283785,0,val_loss,0.03988092020153999,582
001,0001,64,0.044686897181095996,0,val_loss,0.03988092020153999,1748
001,0002,1024,0.0020517090368653264,0,val_loss,0.0035302492324262857,2359
001,0003,128,0.004296783797534477,0,val_loss,0.03988092020153999,1140
002,0000,1024,0.030354035686283785,0,val_loss,0.03988092020153999,544
002,0001,1024,0.0020517090368653264,0,val_loss,0.03988092020153999,540
003,0000,1024,0.0020517090368653264,0,val_loss,0.0036683345679193735,2438
003,0001,1024,0.0020517090368653264,0,val_loss,0.03988092020153999,541
