iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,32,0.0005747355118819918,0,val_loss,0.007095683280153349,3455
001,0001,64,1.2827058174266004e-05,0,val_loss,0.00862604831796622,3456
001,0002,256,0.0008274995678439269,0,val_loss,0.009604370983518613,1196
001,0003,256,0.0007904073522252751,0,val_loss,0.00764314003848495,1119
001,0004,8,0.0005321210040483932,0,val_loss,0.007030987584423019,16662
001,0005,16,0.0005250018568355312,0,val_loss,0.0070960641643911335,7717
001,0006,128,0.0009685787581276765,0,val_loss,0.007243274310759355,1329
001,0007,32,0.0007243456933443269,0,val_loss,0.007411873662988502,3161
001,0008,32,0.0006637139133709175,0,val_loss,0.006974650224255466,3654
001,0009,8,0.0002819472704841253,0,val_loss,0.008036230088004553,14290
001,0010,8,0.0006063594998481302,0,val_loss,0.007222829369363953,10419
001,0011,64,0.0007890538961147488,0,val_loss,0.007183171074374255,2091
001,0012,16,0.0006708442036919649,0,val_loss,0.00715245157462793,6728
001,0013,512,0.00032212212092043544,0,val_loss,0.007571387125061615,718
001,0014,32,0.0003268590028324413,0,val_loss,0.007198054221335242,3855
001,0015,8,0.0008579794207853896,0,val_loss,0.00864638473982809,16875
002,0000,64,1.2827058174266004e-05,0,val_loss,0.008501226452173317,3015
002,0001,32,0.0007229571710189985,0,val_loss,0.007238028770644433,3662
002,0002,512,0.0003418891782689734,0,val_loss,0.0075816853820077435,934
002,0003,8,0.0008579794207853896,0,val_loss,0.008274062068145563,15464
002,0004,8,0.00065647319039988,0,val_loss,0.007212554543999064,12090
002,0005,16,0.0006228825044107465,0,val_loss,0.00728357955408727,6095
002,0006,256,0.0007904073522252751,0,val_loss,0.007983117103301936,860
002,0007,8,0.0008579794207853896,0,val_loss,0.007871343319588376,17838
003,0000,8,0.00065647319039988,0,val_loss,0.00748550824041139,16645
003,0001,32,0.0005747355118819918,0,val_loss,0.007301678182969786,4505
003,0002,16,0.0005448556374020613,0,val_loss,0.007669318708715489,6238
003,0003,32,0.0005747355118819918,0,val_loss,0.007237662227763293,3594
003,0004,16,0.0005293846328989928,0,val_loss,0.007202207555459578,9085
003,0005,64,0.0003268590028324413,0,val_loss,0.007269482545644875,2228
003,0006,8,0.0004209382253078442,0,val_loss,0.007101266104120268,15431
003,0007,64,0.00027980509992040577,0,val_loss,0.007265714934397501,2006
004,0000,32,0.0005747355118819918,0,val_loss,0.007228749142375094,3483
004,0001,16,0.0005098881541454798,0,val_loss,0.007134127283244828,10524
004,0002,8,0.0005321210040483932,0,val_loss,0.007148733727792108,12579
004,0003,8,0.0005321210040483932,0,val_loss,0.007244890064527589,17812
004,0004,64,0.0005321210040483932,0,val_loss,0.007419589353965094,2406
004,0005,8,0.0005747355118819918,0,val_loss,0.007106782989162348,13744
004,0006,8,0.0005321210040483932,0,val_loss,0.007095821935812988,16811
004,0007,32,0.0006637139133709175,0,val_loss,0.007154285704136943,4262
