train_ml_data_dir,val_ml_data_dir,model_outdir,batch_size,learning_rate,dropout,run_id,val_loss
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,16,1.455392613171607e-05,0.24071108743971176,run_01_003_0007,0.002588188679944713
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,32,0.0004731377618301015,0.10251159302298286,run_01_003_0001,0.0028012087697935643
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,128,0.0006788964823616257,0.238158253669698,run_01_003_0003,0.0027171075963607757
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,16,0.0002065151313344091,0.24071108743971176,run_01_003_0006,0.002713512347501199
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,16,0.0005040616657608506,0.0,run_01_003_0000,0.002789709152296603
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,32,0.000280310691818521,0.10251159302298286,run_01_003_0005,0.0026442382210655176
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,16,2.5149538180701182e-05,0.24071108743971176,run_01_003_0002,0.002633721732610902
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,32,0.000280310691818521,0.12940160677919677,run_01_004_0007,0.002682133164752692
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,16,2.5149538180701182e-05,0.24071108743971176,run_01_004_0004,0.002633721732610902
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,64,0.0006618648357125193,0.11938068625014625,run_01_004_0001,0.0027772437100474583
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,16,1.455392613171607e-05,0.24071108743971176,run_01_004_0003,0.002588188679944713
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,16,2.5149538180701182e-05,0.24071108743971176,run_01_004_0000,0.002633721732610902
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,16,9.616539291212983e-05,0.27064534889513725,run_01_004_0006,0.002657998380610865
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,16,2.3060934522138994e-05,0.22278928930359632,run_01_004_0005,0.002582342550163448
/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,/tmp/weaverr/Data/PathDSP/Data/GDSCv2-GDSCv2/split_0,./out_model,16,6.916681700876223e-05,0.3062169831113671,run_01_004_0002,0.0025748693358936072
