iteration,sample,batch_size,learning_rate,metric,result,walltime
006,0019,128,0.0008922585651154918,0,val_loss,0.003261592471972108,2207
006,0002,256,0.0010798057169179535,0,val_loss,0.003254869719967246,1634
006,0025,256,0.0008922585651154918,0,val_loss,0.0031476696021854877,1826
006,0026,128,0.00011333491817844762,0,val_loss,0.0031098322942852974,2177
006,0026,128,0.00011333491817844762,0,val_loss,0.0031098322942852974,2177
006,0003,256,0.0008922585651154918,0,val_loss,0.003072099294513464,1602
006,0003,256,0.0008922585651154918,0,val_loss,0.003072099294513464,1602
007,0023,128,0.0019325781203240865,0,val_loss,0.03988092020153999,493
007,0010,128,0.007859243433767973,0,val_loss,0.03988092020153999,622
007,0010,128,0.007859243433767973,0,val_loss,0.03988092020153999,622
007,0012,128,0.006129948479119917,0,val_loss,0.03988092020153999,528
007,0012,128,0.006129948479119917,0,val_loss,0.03988092020153999,528
007,0020,256,0.005345976066413632,0,val_loss,0.03988092020153999,362
007,0020,256,0.005345976066413632,0,val_loss,0.03988092020153999,362
007,0020,256,0.005345976066413632,0,val_loss,0.03988092020153999,362
007,0035,128,0.00393966666590693,0,val_loss,0.03988092020153999,524
007,0035,128,0.00393966666590693,0,val_loss,0.03988092020153999,524
007,0036,128,0.008285012683569456,0,val_loss,0.03988092020153999,481
007,0036,128,0.008285012683569456,0,val_loss,0.03988092020153999,481
007,0037,512,0.003328696439802247,0,val_loss,0.03988092020153999,324
007,0033,128,1e-06,0,val_loss,0.00701198959723115,2179
007,0033,128,1e-06,0,val_loss,0.00701198959723115,2179
007,0018,128,1e-06,0,val_loss,0.006901552435010672,2406
007,0024,128,1e-06,0,val_loss,0.006682103965431452,2223
007,0028,128,1e-06,0,val_loss,0.00655845133587718,2192
007,0028,128,1e-06,0,val_loss,0.00655845133587718,2192
007,0013,64,1e-06,0,val_loss,0.006225127261132002,3396
007,0038,64,0.0008922585651154918,0,val_loss,0.0035517748910933733,3494
007,0014,64,0.0008922585651154918,0,val_loss,0.0035399342887103558,3750
007,0014,64,0.0008922585651154918,0,val_loss,0.0035399342887103558,3750
007,0007,64,0.0008922585651154918,0,val_loss,0.003522211918607354,3934
007,0017,512,0.00011333491817844762,0,val_loss,0.0034307832829654217,1517
007,0039,128,0.0011343803310813003,0,val_loss,0.003414005972445011,2220
007,0002,128,0.0008922585651154918,0,val_loss,0.0033417537342756987,2279
007,0015,128,0.0008922585651154918,0,val_loss,0.0033412210177630186,2252
007,0019,128,0.0008922585651154918,0,val_loss,0.0033336684573441744,2260
007,0004,128,0.0008922585651154918,0,val_loss,0.0033108352217823267,2238
007,0004,128,0.0008922585651154918,0,val_loss,0.0033108352217823267,2238
007,0005,128,0.0008922585651154918,0,val_loss,0.003308829851448536,2189
007,0005,128,0.0008922585651154918,0,val_loss,0.003308829851448536,2189
007,0021,128,0.0008922585651154918,0,val_loss,0.003302064025774598,2187
007,0021,128,0.0008922585651154918,0,val_loss,0.003302064025774598,2187
007,0029,128,0.0008922585651154918,0,val_loss,0.003291063942015171,2234
007,0001,256,0.00011333491817844762,0,val_loss,0.0032889610156416893,1798
007,0001,256,0.00011333491817844762,0,val_loss,0.0032889610156416893,1798
007,0022,128,0.0008922585651154918,0,val_loss,0.003285155165940523,2199
007,0022,128,0.0008922585651154918,0,val_loss,0.003285155165940523,2199
007,0025,128,0.0008922585651154918,0,val_loss,0.003263235092163086,2229
007,0000,128,0.00011333491817844762,0,val_loss,0.0031569453421980143,2198
007,0000,128,0.00011333491817844762,0,val_loss,0.0031569453421980143,2198
