gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.0104566 	0.0189289  	0.00520762	0.14372   	1714838795.2720892
1  	40    	0.00538644	0.000175477	0.00516582	0.00604469	1714862085.7033694
2  	40    	0.00527049	5.76519e-05	0.00516582	0.00543587	1714881067.809943 
3  	40    	0.00522828	3.65337e-05	0.00516582	0.00536722	1714906805.614539 
4  	40    	0.00520801	1.94514e-05	0.00516582	0.00527822	1714929164.7977042
5  	40    	0.00519159	2.30218e-05	0.00512942	0.00524128	1714951337.671843 
6  	40    	0.00517859	2.99631e-05	0.00512942	0.00528692	1714970892.5467398
7  	40    	0.00516112	2.39141e-05	0.00512942	0.00520762	1714983019.658848 
8  	40    	0.00514528	2.15809e-05	0.00512702	0.00521821	1714994028.0058973
9  	40    	0.00513937	2.46978e-05	0.00512702	0.00529611	1715014391.9090288
