iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,256,0.0003885821163604761,val_loss,0.06648986411679458,50
001,0001,16,0.0006571252216672964,val_loss,0.005242009106478766,399
001,0002,16,0.0006981883036540431,val_loss,0.0048983878766425005,419
001,0003,256,0.00044449149720430104,val_loss,0.06052232508760784,46
001,0004,64,0.0004550219077659955,val_loss,0.0067436849659231355,101
001,0005,64,0.00016983918971508882,val_loss,0.00555024639496684,154
001,0006,128,0.00045799613458360415,val_loss,0.006994483830069438,130
001,0007,1028,6.352148470277732e-05,val_loss,0.02762945892567871,38
001,0008,128,9.389074007612057e-05,val_loss,0.007834211769923565,135
001,0009,1028,6.250800189311174e-05,val_loss,0.02290967785886297,44
001,0010,1028,0.0007862506010531078,val_loss,0.06016265247305756,41
001,0011,16,0.0009576082964036035,val_loss,0.004955772647145274,344
001,0012,256,0.0003697814604612704,val_loss,0.03511131409346698,42
001,0013,8,0.00012774556058603212,val_loss,0.004976401608413617,796
001,0014,512,0.0009798750732631113,val_loss,0.0050980904476377814,88
001,0015,512,0.0004776108085006491,val_loss,0.0303684488239463,45
001,0016,64,0.00032494694348931744,val_loss,0.005898221804135333,199
001,0017,16,4.19854213397371e-05,val_loss,0.005023486702609173,588
001,0018,1028,0.0002046620931825955,val_loss,0.005443999534620398,74
001,0019,1028,0.0003586813434254275,val_loss,0.06167257644997306,45
001,0020,512,0.0009419577334365072,val_loss,0.04055755031226512,37
001,0021,256,0.0001391344199376721,val_loss,0.00829199796029051,101
001,0022,512,0.0006649396466792874,val_loss,0.10482536784287293,42
001,0023,8,0.00035171315609081044,val_loss,0.0050403422661601405,716
001,0024,128,0.0009241451384072085,val_loss,0.0053575355923052665,132
001,0025,16,0.0001622393790771442,val_loss,0.0049956172577807845,300
001,0026,64,0.0007718593750481791,val_loss,0.0055290537097372845,113
001,0027,32,0.0008498250618239216,val_loss,0.005124648736112967,186
001,0028,16,0.0006363411597543849,val_loss,0.004981814812512447,326
001,0029,128,0.0005600085110747999,val_loss,0.006099473212946173,137
001,0030,512,0.00017810187381100883,val_loss,0.01322055499318373,44
001,0031,64,0.0004317819005286317,val_loss,0.004828971311539505,119
001,0032,512,0.0006960457127553093,val_loss,0.01244368250111193,94
001,0033,32,0.00042468879843389116,val_loss,0.005187914129626383,153
001,0034,1028,0.00019390785473341038,val_loss,0.046647216550073,38
001,0035,128,0.0003953526359776121,val_loss,0.029038794096176525,53
001,0036,64,0.00010671071014305004,val_loss,0.005731631854582747,199
001,0037,1028,0.0005870192449521937,val_loss,0.040573614311796964,41
001,0038,128,0.0003358032258117658,val_loss,0.00640764599574519,129
001,0039,64,0.000584731963445556,val_loss,0.006136463807318674,144
001,0040,256,0.00011013982000629965,val_loss,0.005801591448593224,67
001,0041,16,0.000825313615430348,val_loss,0.004746574483973394,448
001,0042,128,0.00021923157768109473,val_loss,0.007678131204981461,132
001,0043,64,0.000906788855657743,val_loss,0.00481803189521394,159
001,0044,512,0.0008263210581070249,val_loss,0.0546618470291155,43
001,0045,1028,0.0003245908321274689,val_loss,0.02953330591558507,36
001,0046,32,0.0003081289708642959,val_loss,0.004962097754824606,211
001,0047,8,0.0005503691287567318,val_loss,0.004899396499516956,814
001,0048,512,0.00034258343139360544,val_loss,0.05506157669709385,39
001,0049,8,0.00044353198257611644,val_loss,0.0052734115633867725,826
001,0050,64,0.0002763079031185989,val_loss,0.006098221013146188,90
001,0051,8,0.00016795242506988526,val_loss,0.0049785595111804856,706
001,0052,32,0.000556425507350776,val_loss,0.0046597361244331325,238
001,0053,32,7.39092577001629e-05,val_loss,0.005978963801379244,326
001,0054,16,0.00014225855051323998,val_loss,0.005282738495438577,479
001,0055,8,0.00047105152002210274,val_loss,0.004948346996068359,648
001,0056,1028,0.00047741453906957376,val_loss,0.015425107681858705,37
001,0057,256,0.0005938797960457171,val_loss,0.014089130570304732,47
001,0058,16,0.0008974392572670481,val_loss,0.004818185728332764,440
001,0059,128,0.0009885646621064655,val_loss,0.022463280729098936,52
001,0060,32,0.0007777707325908197,val_loss,0.0053785629188403015,234
001,0061,16,0.0006061331991645795,val_loss,0.004811427292560521,309
001,0062,16,0.000659721586658088,val_loss,0.004954336757937269,419
001,0063,512,0.00036063621833486907,val_loss,0.08745070559198938,39
001,0064,64,0.0003507781157811607,val_loss,0.005010342333618258,149
001,0065,32,0.0008792380932202766,val_loss,0.004876613645794765,187
001,0066,256,3.4355854764300124e-06,val_loss,0.01600483738178756,64
001,0067,64,0.0004214226824870117,val_loss,0.005230672644278578,134
001,0068,8,0.0009886898774762428,val_loss,0.004857826427862991,647
001,0069,32,0.000569870240601316,val_loss,0.004897615647518339,216
001,0070,128,0.0003967046286999293,val_loss,0.014584227029009156,121
001,0071,1028,0.0008308147029443053,val_loss,0.025255905196420493,39
001,0072,1028,0.0005882317631500008,val_loss,0.031322064042090106,43
001,0073,16,0.0006461261791472507,val_loss,0.004924189622164924,345
001,0074,1028,3.9836308483418785e-05,val_loss,0.10140066627689913,43
001,0075,128,0.0007227756040620122,val_loss,0.006784406408162974,95
001,0076,8,0.000971463547271001,val_loss,0.004727909285113492,771
001,0077,1028,9.119201814226543e-05,val_loss,0.013747813406267281,42
001,0078,1028,0.00030455137260424603,val_loss,0.015325423596702047,38
001,0079,256,0.0007397941725767252,val_loss,0.08680926775074259,44
002,0000,32,0.000569870240601316,val_loss,0.0049952633238494705,243
002,0001,512,0.0008117193139330834,val_loss,0.031689960963754274,40
002,0002,256,0.00021338411284345463,val_loss,0.008762587584770913,61
002,0003,64,0.00022579680121814007,val_loss,0.00933954597571702,76
002,0004,1028,0.0009798750732631113,val_loss,0.007332255465208728,62
002,0005,1028,9.389074007612057e-05,val_loss,0.03860649588473301,43
002,0006,1028,0.0005608260679796889,val_loss,0.03133509501645352,42
002,0007,512,0.0006927907571483001,val_loss,0.06292757960439176,36
002,0008,128,0.00021923157768109473,val_loss,0.014998788385674013,51
002,0009,512,0.00033280878910201564,val_loss,0.009046796004293412,92
002,0010,128,0.0003885821163604761,val_loss,0.005709601020994422,124
002,0011,128,9.389074007612057e-05,val_loss,0.010122962578677413,138
002,0012,256,0.0003358032258117658,val_loss,0.00617387417294288,101
002,0013,1028,9.119201814226543e-05,val_loss,0.013579608805270945,44
002,0014,32,0.0008498250618239216,val_loss,0.0070156803550572135,150
002,0015,32,0.00044160569380621183,val_loss,0.004838452958969455,175
002,0016,16,0.000906788855657743,val_loss,0.00487443194857728,354
002,0017,8,0.0006571252216672964,val_loss,0.0049893739747919105,1117
002,0018,8,0.00046988570693648284,val_loss,0.004820411218812488,745
002,0019,128,0.0002763079031185989,val_loss,0.009754594883158212,68
002,0020,32,0.0008974392572670481,val_loss,0.005052189496126736,252
002,0021,512,0.0005848187024772061,val_loss,0.021214729054652662,40
002,0022,32,0.0004550219077659955,val_loss,0.004822044748920253,194
002,0023,256,0.0007397941725767252,val_loss,0.007504860567130169,101
002,0024,256,0.0003697814604612704,val_loss,0.03300849646796585,39
002,0025,1028,0.00030455137260424603,val_loss,0.007948877944797492,75
002,0026,32,0.0008743810441227503,val_loss,0.005065682252159184,233
002,0027,16,0.000825313615430348,val_loss,0.004711876004167575,399
002,0028,1028,0.00030455137260424603,val_loss,0.01796560355719519,39
002,0029,128,0.0003967046286999293,val_loss,0.022176147772177857,131
002,0030,32,0.0003385235603796033,val_loss,0.004898240794538751,238
002,0031,32,0.0006382125148224703,val_loss,0.005141479579811502,241
002,0032,128,0.0003967046286999293,val_loss,0.021457403695942928,61
002,0033,256,0.00044449149720430104,val_loss,0.07107328191915144,78
002,0034,8,0.0005053658334711468,val_loss,0.0049321483863519104,530
002,0035,512,0.0008263210581070249,val_loss,0.08102521679573084,37
002,0036,1028,0.0005345457586485183,val_loss,0.054366742581322305,38
002,0037,1028,8.465073408790574e-05,val_loss,0.12387942367641268,60
002,0038,64,0.0003967046286999293,val_loss,0.006724183442655928,169
002,0039,128,0.0003953526359776121,val_loss,0.0055213039469142805,132
003,0000,32,0.0003385235603796033,val_loss,0.005267164831180996,342
003,0001,256,0.0003358032258117658,val_loss,0.05641403531263463,102
003,0002,64,0.00010671071014305004,val_loss,0.008140835871477571,165
003,0003,512,0.0006471049062626721,val_loss,0.1590306835908969,41
003,0004,8,0.000825313615430348,val_loss,0.0049608180830956515,768
003,0005,16,0.0009576082964036035,val_loss,0.004872653657896078,353
003,0006,16,0.0006308253004309873,val_loss,0.0049278876632647475,363
003,0007,8,0.000971463547271001,val_loss,0.004883901132612019,730
003,0008,8,0.0009815507557973506,val_loss,0.004957812760840622,900
003,0009,16,0.0009576082964036035,val_loss,0.005149067412036638,426
003,0010,128,0.00040345613332859313,val_loss,0.004960276687829262,84
003,0011,32,0.0002763079031185989,val_loss,0.006904336692904744,189
003,0012,32,0.000659721586658088,val_loss,0.004872236498392534,246
003,0013,8,0.0006893153112610867,val_loss,0.004902079569362123,701
003,0014,8,0.0005503691287567318,val_loss,0.004839658972350547,592
003,0015,32,0.0006382125148224703,val_loss,0.005235851221552344,205
003,0016,8,1e-06,val_loss,0.11756817098849602,281
003,0017,64,0.0002620132653372045,val_loss,0.005697644222004383,202
003,0018,8,0.000556425507350776,val_loss,0.004759192739363428,739
003,0019,16,0.00014225855051323998,val_loss,0.005495458693752701,501
003,0020,8,0.000971463547271001,val_loss,0.004882339895688726,855
003,0021,16,0.0006543460073125193,val_loss,0.004777778644284333,413
003,0022,128,0.0003527288848023317,val_loss,0.009322699183751225,137
003,0023,32,0.0008792380932202766,val_loss,0.004804939476673405,253
003,0024,1028,0.0002504988563052318,val_loss,0.005494228099852341,71
003,0025,8,0.00042203790005370523,val_loss,0.004941892409569917,606
003,0026,128,0.00038105342958929953,val_loss,0.04327537950060066,50
003,0027,512,0.0003686661158748905,val_loss,0.009105381847703133,87
003,0028,1028,0.0006960457127553093,val_loss,0.034610770132207605,37
003,0029,32,0.0008792380932202766,val_loss,0.0045956667216058645,202
003,0030,32,0.0008498250618239216,val_loss,0.005056721613321402,227
003,0031,16,0.000659721586658088,val_loss,0.004882217934058233,426
003,0032,8,0.00016795242506988526,val_loss,0.004689498503106625,525
003,0033,16,0.0007056745369156032,val_loss,0.004932135823672455,358
003,0034,8,0.0005503691287567318,val_loss,0.004738241614757802,654
003,0035,512,0.0006960457127553093,val_loss,0.008337693145372709,91
003,0036,8,0.0007794730090993721,val_loss,0.005020454813458494,707
