iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,1028,0.0005078613499370423,val_loss,0.004330928521630959,1296
001,0001,512,0.0003854503461806868,val_loss,0.0033923615838301682,1432
001,0002,16,0.00018630026524778462,val_loss,0.003237837210523009,15406
001,0003,32,0.0003865601854124835,val_loss,0.0033530104935042423,6230
002,0000,16,0.00012288411388742946,val_loss,0.003226809908512635,17506
002,0001,32,0.0003865601854124835,val_loss,0.004490100141997282,4322
003,0000,16,0.00012288411388742946,val_loss,0.0034025397564693112,11303
003,0001,16,0.00012288411388742946,val_loss,0.003241584734050416,17184
