iteration,sample,batch_size,learning_rate,dropout,metric,result,walltime
001,0000,16,0.0006344068632834286,0.07859353484273207,val_loss,0.004573976053094092,0
001,0001,128,0.00035671689048204854,0.1402260219015119,val_loss,0.003989621170896488,0
001,0002,128,0.0006992537845636985,0.36707171332858535,val_loss,0.004311811049769921,0
001,0003,64,0.0002215663545167742,0.15032471216276044,val_loss,0.004064868177762248,0
001,0004,32,0.0007796824290141944,0.001303986634199783,val_loss,0.00475245687295075,0
001,0005,64,2.971046541383491e-05,0.10610635357049564,val_loss,0.005428079451773798,0
001,0006,64,0.00040369436354718076,0.35159157892024023,val_loss,0.004329071281259668,0
001,0007,32,0.0003565937637736597,0.49603161320110345,val_loss,0.004664716008482917,0
001,0008,32,0.000658987559297539,0.3111869298650518,val_loss,0.00451516913470134,0
001,0009,32,0.0007914649537351206,0.20748812641585013,val_loss,0.004394365580491316,0
001,0010,128,0.0007466008596505687,0.25086087437403015,val_loss,0.0043128852452909245,0
001,0011,32,0.0004984520748190741,0.07355163781873209,val_loss,0.00444424461446455,0
001,0012,128,0.000318298448294312,0.4894017275444251,val_loss,0.004531020066432311,0
001,0013,128,0.0009708068563982988,0.0076891618849049825,val_loss,0.004026674479413094,0
001,0014,32,0.0002842152979788133,0.18666276118829306,val_loss,0.004403695146434873,0
001,0015,128,0.000994540971801438,0.13065110829643578,val_loss,0.0041038926651624985,0
002,0000,128,0.0007914649537351206,0.0076891618849049825,val_loss,0.004244761244564898,0
002,0001,32,0.00010493391472261396,0.18666276118829306,val_loss,0.004243902802682743,0
002,0002,128,0.001,0.0076891618849049825,val_loss,0.004098891475287962,0
002,0003,32,0.0002504952234076193,0.18666276118829306,val_loss,0.004031243433063534,0
002,0004,32,0.0007796824290141944,0.0,val_loss,0.004108904744689338,0
002,0005,64,0.0009050711932428598,0.0076891618849049825,val_loss,0.0043831365434378825,0
002,0006,64,0.00033532162441890636,0.35159157892024023,val_loss,0.004265147159264523,0
002,0007,32,0.0003117520002614517,0.49603161320110345,val_loss,0.0043935421617203605,0
003,0000,128,0.00024319069525915603,0.1402260219015119,val_loss,0.0039151949395442,0
003,0001,128,0.00035671689048204854,0.1402260219015119,val_loss,0.003989621170896488,0
003,0002,128,0.000994540971801438,0.0076891618849049825,val_loss,0.004162344862235388,0
003,0003,32,0.0008444428672021139,0.0,val_loss,0.004167000581366953,0
003,0004,64,0.00035671689048204854,0.16584957502980097,val_loss,0.004083327708143641,0
003,0005,128,0.000777089640334183,0.0076891618849049825,val_loss,0.004260304604448186,0
003,0006,128,0.0006992537845636985,0.36707171332858535,val_loss,0.004311811049769921,0
003,0007,128,0.0007940214170632071,0.0076891618849049825,val_loss,0.004265306066258661,0
004,0000,128,0.0009857755664713025,0.0076891618849049825,val_loss,0.004121451039214557,0
004,0001,128,0.00032487297773064864,0.1402260219015119,val_loss,0.003943284807757243,0
004,0002,128,0.0009708068563982988,0.1402260219015119,val_loss,0.004361831934414592,0
004,0003,128,0.001,0.0,val_loss,0.0040932962693687285,0
004,0004,128,0.00035671689048204854,0.1402260219015119,val_loss,0.003989621170896488,0
004,0005,32,0.00018381126751856373,0.272275003329162,val_loss,0.0044484916954879205,0
004,0006,128,0.00035671689048204854,0.1354960282403314,val_loss,0.004026892829044649,0
004,0007,64,0.00032346049338942586,0.09440562603748642,val_loss,0.0041439393974363956,0
