iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,256,4.2241421549864115e-06,val_loss,0.0662957769432773,713
001,0001,64,2.7530402492452516e-06,val_loss,0.0662957769432773,655
001,0002,128,3.3269521582727793e-06,val_loss,0.0662957769432773,733
001,0003,16,9.209541715890654e-06,val_loss,0.0048008296560107435,2459
001,0004,128,1.4821377831069903e-06,val_loss,0.0662957769432773,628
001,0005,512,2.5806028398884505e-06,val_loss,0.0662957769432773,839
001,0006,32,1.7466685560787514e-06,val_loss,0.004883109277085948,1243
001,0007,16,8.250224656729537e-06,val_loss,0.004840185084953444,1802
001,0008,256,8.975430387137136e-06,val_loss,0.0662957769432773,922
001,0009,64,8.076436243106843e-06,val_loss,0.06629566660942969,1122
001,0010,32,5.028225161967339e-06,val_loss,0.004926928912693763,1902
001,0011,32,9.231906776607769e-06,val_loss,0.004799837107222986,1274
001,0012,16,6.59813957413304e-06,val_loss,0.004607167472318877,1713
001,0013,256,5.9536942563403715e-06,val_loss,0.0662957769432773,910
001,0014,256,3.368905031411674e-06,val_loss,0.0662957769432773,868
001,0015,512,8.505525590520314e-06,val_loss,0.0662957769432773,924
002,0000,32,1e-08,val_loss,0.004744415272340943,1829
002,0001,16,6.59813957413304e-06,val_loss,0.004772124069093395,2208
002,0002,256,5.9536942563403715e-06,val_loss,0.0662957769432773,919
002,0003,16,1e-08,val_loss,0.00497388164151945,1678
002,0004,256,1e-08,val_loss,0.0662957769432773,684
002,0005,16,1e-05,val_loss,0.00474246663359077,1801
002,0006,128,1.4821377831069903e-06,val_loss,0.0662957769432773,934
002,0007,32,9.231906776607769e-06,val_loss,0.0049091555773568855,1811
003,0000,32,1e-05,val_loss,0.004652009800325673,1534
003,0001,16,1e-05,val_loss,0.00483620140763695,2399
003,0002,16,1e-08,val_loss,0.004882810687825998,1832
003,0003,32,1e-08,val_loss,0.004658976724652866,2024
003,0004,16,1e-08,val_loss,0.0049588581876121775,3050
003,0005,32,1e-05,val_loss,0.004879930746802002,1638
003,0006,64,1e-08,val_loss,0.06629577650942822,811
003,0007,16,6.59813957413304e-06,val_loss,0.004919824438112541,2691
004,0000,16,1e-08,val_loss,0.004923324987583966,2071
004,0001,16,6.59813957413304e-06,val_loss,0.004891469500115792,2453
004,0002,32,6.59813957413304e-06,val_loss,0.0046244146514147376,2167
004,0003,32,1e-08,val_loss,0.004695309553923516,2084
004,0004,16,1e-05,val_loss,0.004791442797790729,2530
004,0005,16,1e-05,val_loss,0.004812588616243029,2398
004,0006,16,6.59813957413304e-06,val_loss,0.004902019264617579,2075
004,0007,32,1e-05,val_loss,0.004990053611196337,1971
