iteration,sample,learning_rate,metric,result,walltime
001,0000,0.45746980962938755,val_loss,0.005840612402666058,24
001,0001,0.11510939824305239,val_loss,0.005012441724072668,29
001,0002,0.08424494715687583,val_loss,0.004752252662509062,34
001,0003,0.8970266370723946,val_loss,0.007025948664850878,17
001,0004,0.746406625955363,val_loss,0.006539393270694535,18
001,0005,0.6748311830926612,val_loss,0.0065362924517028825,16
001,0006,0.5980739563693823,val_loss,0.0063469597375097895,16
001,0007,0.6297144665362061,val_loss,0.006089770132601355,22
001,0008,0.6903169781565665,val_loss,0.006623774480230143,21
001,0009,0.4505054959704216,val_loss,0.0056541866381534375,18
001,0010,0.363511744401916,val_loss,0.005552233070060972,18
001,0011,0.9994890606312967,val_loss,0.007102128331515347,15
001,0012,0.32480040502770285,val_loss,0.005357490516526723,29
001,0013,0.33444142489659234,val_loss,0.005705929946320653,25
001,0014,0.3494738330815242,val_loss,0.00533984115436814,19
001,0015,0.5050857933871621,val_loss,0.006217682933692702,17
002,0000,0.5050857933871621,val_loss,0.006217682933692702,19
002,0001,0.3494738330815242,val_loss,0.00533984115436814,24
002,0002,0.6903169781565665,val_loss,0.006623774480230143,21
002,0003,0.5873560794904767,val_loss,0.0060056455127880356,21
002,0004,0.746406625955363,val_loss,0.006539393270694535,21
002,0005,0.9994890606312967,val_loss,0.007102128331515347,21
002,0006,0.33536158929852455,val_loss,0.005373532350413965,25
002,0007,0.6297144665362061,val_loss,0.006089770132601355,22
003,0000,0.586842302478083,val_loss,0.005974136951923757,22
003,0001,0.363511744401916,val_loss,0.005552233070060972,18
003,0002,0.3494738330815242,val_loss,0.00533984115436814,25
003,0003,0.363511744401916,val_loss,0.005552233070060972,22
003,0004,0.08895688645194168,val_loss,0.004828606046196802,40
003,0005,0.34978973267051483,val_loss,0.005482648464407478,27
003,0006,0.6297144665362061,val_loss,0.006089770132601355,21
003,0007,0.08424494715687583,val_loss,0.004752252662509062,41
004,0000,0.3494738330815242,val_loss,0.00533984115436814,31
004,0001,0.355317940025851,val_loss,0.005727220127251543,25
004,0002,0.1071151516035404,val_loss,0.004888223794427113,44
004,0003,0.3494738330815242,val_loss,0.00533984115436814,27
004,0004,0.32480040502770285,val_loss,0.005357490516526723,32
004,0005,0.08424494715687583,val_loss,0.004752252662509062,57
004,0006,0.11510939824305239,val_loss,0.005012441724072668,38
004,0007,0.0877075660551307,val_loss,0.004716954642525341,58
