iteration,sample,learning_rate,metric,result,walltime
001,0000,0.7417816037818397,0,val_loss,0.006694854552784331,13
001,0001,0.23765743135687664,0,val_loss,0.004931790720734312,23
001,0002,0.7462824473200179,0,val_loss,0.006539101818374804,13
001,0003,0.15155189493635726,0,val_loss,0.005126301478070283,23
002,0000,0.7417816037818397,0,val_loss,0.006694854552784331,10
002,0001,0.23765743135687664,0,val_loss,0.004931790720734312,20
003,0000,0.23765743135687664,0,val_loss,0.004931790720734312,20
003,0001,0.23765743135687664,0,val_loss,0.004931790720734312,22
