iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,1028,0.0002574208478184355,0,val_loss,0.041652105581422336,30
001,0001,1028,0.0002103554875539845,0,val_loss,0.029868587479068832,31
001,0002,16,0.0002846707933039802,0,val_loss,0.008487176044041212,245
001,0003,1028,0.00019591601480499715,0,val_loss,0.026264194687000454,30
002,0000,512,0.00019591601480499715,0,val_loss,0.027005375574810944,34
002,0001,16,0.0002846707933039802,0,val_loss,0.008602251221443376,253
003,0000,16,0.00023903766637566772,0,val_loss,0.008227397782269717,251
003,0001,16,0.00029368453062699737,0,val_loss,0.007715362072228358,244
