iteration,sample,learning_rate,metric,result,walltime
001,0000,0.44169681007433004,0,val_loss,0.008660520802647273,16
001,0001,0.646169043845561,0,val_loss,0.010482635651368737,38
001,0002,0.9832496375895825,0,val_loss,0.011835072691006652,15
001,0003,0.735805703245696,0,val_loss,0.010531264595503038,31
001,0004,0.781279573852759,0,val_loss,0.011250477110783847,15
001,0005,0.5683515312127634,0,val_loss,0.010088895018703902,12
001,0006,0.4369348191462766,0,val_loss,0.008463387767392654,15
001,0007,0.9112410078877825,0,val_loss,0.01116780770251923,27
001,0008,0.14313695068536092,0,val_loss,0.007654568055930207,114
001,0009,0.902596524639435,0,val_loss,0.011765545967902405,40
001,0010,0.055597156842976704,0,val_loss,0.007580466164226098,170
001,0011,0.47538762072880936,0,val_loss,0.009180426186793869,43
001,0012,0.5193728860850428,0,val_loss,0.01010801776206967,14
001,0013,0.054389269424818996,0,val_loss,0.0077718534251244205,49
001,0014,0.5523084646651596,0,val_loss,0.009232686700169914,20
001,0015,0.7485998408014694,0,val_loss,0.011206373744950806,13
001,0016,0.6259726571036187,0,val_loss,0.009638447854536502,16
001,0017,0.3416543354135385,0,val_loss,0.008299918826116977,21
001,0018,0.8854838389252504,0,val_loss,0.011195909796105241,14
001,0019,0.44288784952336446,0,val_loss,0.008943805330474041,14
001,0020,0.4708158661700876,0,val_loss,0.009144198745522622,44
001,0021,0.8625290878262619,0,val_loss,0.011071645742681298,15
001,0022,0.6912668706359006,0,val_loss,0.010520276615917798,17
001,0023,0.7823085355022661,0,val_loss,0.011589340263852185,43
001,0024,0.9926170377617545,0,val_loss,0.012372207795844258,31
001,0025,0.7989642455952177,0,val_loss,0.011204914614389163,15
001,0026,0.4912308087873068,0,val_loss,0.008857701478610034,32
001,0027,0.4496602293468442,0,val_loss,0.0091009061002134,15
001,0028,0.48534630550756097,0,val_loss,0.009597599858576281,41
001,0029,0.7232541907086482,0,val_loss,0.010430953926862727,17
001,0030,0.8346650590244689,0,val_loss,0.009763149978572862,13
001,0031,0.4291704415475184,0,val_loss,0.008560883539041629,17
001,0032,0.7931754067737905,0,val_loss,0.011089494655322012,44
001,0033,0.46991068372811684,0,val_loss,0.009124784150110376,15
001,0034,0.7093170591207834,0,val_loss,0.010887955359165015,14
001,0035,0.2884596933520426,0,val_loss,0.008635320159243192,21
001,0036,0.7242277588866273,0,val_loss,0.010190605698633937,15
001,0037,0.5344834534974914,0,val_loss,0.008841475089244473,28
001,0038,0.5953743550959707,0,val_loss,0.009655557582357609,16
001,0039,0.9928401900944293,0,val_loss,0.012372732003319249,27
001,0040,0.5093866847003558,0,val_loss,0.009539010802096591,50
