iteration,sample,learning_rate,metric,result,walltime
001,0000,0.09692909314784615,0,val_loss,0.007749102025880709,22
001,0001,0.8389956510108804,0,val_loss,0.010440029059165058,13
001,0002,0.7540191049947168,0,val_loss,0.011545460555636912,13
001,0003,0.4923796890167805,0,val_loss,0.00975139535871838,12
002,0000,0.49614804639606797,0,val_loss,0.0093650021270899,10
002,0001,0.8389956510108804,0,val_loss,0.010440029059165058,10
003,0000,0.07357154566472418,0,val_loss,0.007821410082010885,23
003,0001,0.09692909314784615,0,val_loss,0.007749102025880709,23
