iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,16,0.005477607690208452,val_loss,0.008396342396736145,0
001,0001,128,0.0031302062326851532,val_loss,0.00953447911888361,0
001,0002,512,0.00039703270827546054,val_loss,0.011167491786181927,0
001,0003,1024,0.006276183588875072,val_loss,0.015508308075368404,0
001,0004,256,0.004283515853432378,val_loss,0.009763420559465885,0
001,0005,64,0.00097875026369587,val_loss,0.009018748998641968,0
001,0006,128,0.007145136015929996,val_loss,0.008439312689006329,0
001,0007,128,0.005524777164770902,val_loss,0.008031509816646576,0
001,0008,512,0.003263983614422501,val_loss,0.014456989243626595,0
001,0009,16,0.00017806775941110238,val_loss,0.008450589142739773,0
001,0010,512,0.006476436316328404,val_loss,0.009475206956267357,0
001,0011,32,0.004601941235529405,val_loss,0.0082704471424222,0
001,0012,16,0.007637066692994176,val_loss,0.008538962341845036,0
001,0013,128,0.005969378839587448,val_loss,0.008631708100438118,0
001,0014,256,0.00304360591106868,val_loss,0.009249880909919739,0
001,0015,512,0.007117357021132961,val_loss,0.00853966735303402,0
002,0000,512,0.003870569674524528,val_loss,0.013581596314907074,0
002,0001,1024,0.0028226515070512424,val_loss,0.022902393713593483,0
002,0002,32,0.00685103425830459,val_loss,0.007632283493876457,0
002,0003,1024,0.006799736706717339,val_loss,0.2462308406829834,0
002,0004,256,0.00304360591106868,val_loss,0.010669717565178871,0
002,0005,16,0.00017806775941110238,val_loss,0.009260309860110283,0
002,0006,16,0.007637066692994176,val_loss,0.009132258594036102,0
002,0007,512,8.899278408366034e-05,val_loss,0.5721914768218994,0
003,0000,128,0.005969378839587448,val_loss,0.00922122597694397,0
003,0001,16,0.00017806775941110238,val_loss,0.009772521443665028,0
003,0002,16,0.005477607690208452,val_loss,0.009411250241100788,0
003,0003,32,0.007528969602247361,val_loss,0.008518049493432045,0
003,0004,256,0.005524777164770902,val_loss,0.009355676360428333,0
003,0005,16,0.005969378839587448,val_loss,0.008808472193777561,0
003,0006,128,0.007145136015929996,val_loss,0.008756292052567005,0
003,0007,32,0.00685103425830459,val_loss,0.008085454814136028,0
004,0000,256,0.007145136015929996,val_loss,0.008327002637088299,0
004,0001,128,0.006920336795030656,val_loss,0.009492517448961735,0
004,0002,128,0.005524777164770902,val_loss,0.008523402735590935,0
004,0003,32,0.005477607690208452,val_loss,0.008433617651462555,0
004,0004,32,0.00685103425830459,val_loss,0.007855339907109737,0
004,0005,32,0.007249074761262121,val_loss,0.007765508256852627,0
004,0006,128,0.005524777164770902,val_loss,0.008076868019998074,0
004,0007,32,0.005477607690208452,val_loss,0.008767654187977314,0
