iteration,sample,learning_rate,metric,result,walltime
001,0000,3.6527549012867474e-05,val_loss,0.3190939426422119,97
001,0001,4.561353101536121e-05,val_loss,0.03423552140593529,120
001,0002,1.742469572749962e-05,val_loss,0.3197461664676666,102
001,0003,2.51542172262341e-05,val_loss,0.3194790184497833,104
002,0000,3.6527549012867474e-05,val_loss,0.0739290602505207,251
002,0001,2.51542172262341e-05,val_loss,0.07387728244066238,134
003,0000,4.561353101536121e-05,val_loss,0.07403872162103653,96
003,0001,4.561353101536121e-05,val_loss,0.03423349782824516,203
