iteration,sample,learning_rate,metric,result,walltime
001,0000,0.23838666033338002,val_loss,0.008175686348022118,239
001,0001,0.654021644472521,val_loss,0.009985398434398305,198
001,0002,0.8367756175168125,val_loss,0.010437531423662785,186
001,0003,0.2807954472059583,val_loss,0.008857717283927362,234
001,0004,0.13259753279843778,val_loss,0.007683718670708563,242
001,0005,0.2651848458480751,val_loss,0.008542665540458605,235
001,0006,0.40549897979874294,val_loss,0.008487751028335768,216
001,0007,0.33269311390679457,val_loss,0.007967408052661523,234
001,0008,0.8161107023499093,val_loss,0.009843030414258285,213
001,0009,0.9254608601872031,val_loss,0.011317085350054682,211
001,0010,0.32338200259701877,val_loss,0.008184718642019877,233
001,0011,0.36215109745096596,val_loss,0.009108497779587173,238
001,0012,0.7240363435052671,val_loss,0.010222876165134299,228
001,0013,0.6866725101722582,val_loss,0.010486444793874906,169
001,0014,0.24166817590907697,val_loss,0.008197799098046113,239
001,0015,0.9648603596706631,val_loss,0.01213166104452816,216
002,0000,0.11035631689498082,val_loss,0.007773017240488384,41
002,0001,0.8161107023499093,val_loss,0.009843030414258285,34
002,0002,0.6424650337478491,val_loss,0.010184148657910343,30
002,0003,0.2651848458480751,val_loss,0.008542665540458605,35
002,0004,0.2651848458480751,val_loss,0.008542665540458605,37
002,0005,0.3106688935245779,val_loss,0.008666509312509445,37
002,0006,0.3636307463111935,val_loss,0.008906192762940203,37
002,0007,0.6866725101722582,val_loss,0.010486444793874906,30
003,0000,0.26692112784886024,val_loss,0.007931509424633462,54
003,0001,0.2651848458480751,val_loss,0.008542665540458605,46
003,0002,0.23838666033338002,val_loss,0.008175686348022118,52
003,0003,0.13259753279843778,val_loss,0.007683718670708563,56
003,0004,0.13259753279843778,val_loss,0.007683718670708563,56
003,0005,0.33269311390679457,val_loss,0.007967408052661523,49
003,0006,0.4146579032757725,val_loss,0.00900043146715981,43
003,0007,0.23362490796853824,val_loss,0.008186042310910519,55
004,0000,0.13189662663600935,val_loss,0.008177008124344038,56
004,0001,0.13259753279843778,val_loss,0.007683718670708563,70
004,0002,0.33269311390679457,val_loss,0.007967408052661523,63
004,0003,0.13259753279843778,val_loss,0.007683718670708563,59
004,0004,0.12493532596127607,val_loss,0.007794377167451361,59
004,0005,0.23134123517505312,val_loss,0.008479602727478507,74
004,0006,0.33269311390679457,val_loss,0.007967408052661523,52
004,0007,0.146723311418569,val_loss,0.007735683926660065,79
