iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,16,0.0006233347730092853,val_loss,0.0071556948469049,6070
001,0001,256,0.0004020624547441756,val_loss,0.008002369451516242,1240
001,0002,512,0.0005422278075218852,val_loss,0.0072947377913854744,663
001,0003,64,0.0008923064962233733,val_loss,0.008144125457175562,2464
002,0000,512,0.0005088237785170562,val_loss,0.00927712828502223,842
002,0001,512,0.0005422278075218852,val_loss,0.007166934150775435,693
003,0000,256,0.0005422278075218852,val_loss,0.007145411909679506,684
003,0001,512,0.0005422278075218852,val_loss,0.007355213510583664,637
